$ C:/Python34/python.exe montecarlo.py
[50]#1 | Score: 2922 | Highest tile: 192 | Moves: 86
[50]#2 | Score: 261 | Highest tile: 48 | Moves: 27
[50]#3 | Score: 7026 | Highest tile: 384 | Moves: 135
[50]#4 | Score: 1104 | Highest tile: 96 | Moves: 62
[50]#5 | Score: 1212 | Highest tile: 96 | Moves: 74
[50]#6 | Score: 1455 | Highest tile: 96 | Moves: 82
[50]#7 | Score: 1239 | Highest tile: 96 | Moves: 53
[50]#8 | Score: 393 | Highest tile: 48 | Moves: 30
[50]#9 | Score: 1197 | Highest tile: 96 | Moves: 52
[50]#10 | Score: 792 | Highest tile: 96 | Moves: 47
[50]#11 | Score: 1536 | Highest tile: 96 | Moves: 66
[50]#12 | Score: 3336 | Highest tile: 192 | Moves: 91
[50]#13 | Score: 498 | Highest tile: 48 | Moves: 30
[50]#14 | Score: 969 | Highest tile: 96 | Moves: 55
[50]#15 | Score: 1149 | Highest tile: 96 | Moves: 76
[50]#16 | Score: 1131 | Highest tile: 96 | Moves: 78
[50]#17 | Score: 2268 | Highest tile: 192 | Moves: 57
[50]#18 | Score: 1044 | Highest tile: 96 | Moves: 59
[50]#19 | Score: 141 | Highest tile: 24 | Moves: 17
[50]#20 | Score: 1212 | Highest tile: 96 | Moves: 72
[50]#21 | Score: 414 | Highest tile: 48 | Moves: 44
[50]#22 | Score: 1413 | Highest tile: 96 | Moves: 67
[50]#23 | Score: 999 | Highest tile: 96 | Moves: 38
[50]#24 | Score: 363 | Highest tile: 48 | Moves: 34
[50]#25 | Score: 1053 | Highest tile: 96 | Moves: 47
[50]#26 | Score: 2454 | Highest tile: 192 | Moves: 76
[50]#27 | Score: 3120 | Highest tile: 192 | Moves: 104
[50]#28 | Score: 786 | Highest tile: 96 | Moves: 46
[50]#29 | Score: 3402 | Highest tile: 192 | Moves: 76
[50]#30 | Score: 222 | Highest tile: 24 | Moves: 28
[50]#31 | Score: 3255 | Highest tile: 192 | Moves: 92
[50]#32 | Score: 3282 | Highest tile: 192 | Moves: 62
[50]#33 | Score: 3318 | Highest tile: 192 | Moves: 54
[50]#34 | Score: 2505 | Highest tile: 192 | Moves: 93
[50]#35 | Score: 411 | Highest tile: 48 | Moves: 34
[50]#36 | Score: 138 | Highest tile: 24 | Moves: 18
[50]#37 | Score: 501 | Highest tile: 48 | Moves: 44
[50]#38 | Score: 864 | Highest tile: 96 | Moves: 48
[50]#39 | Score: 507 | Highest tile: 48 | Moves: 52
[50]#40 | Score: 6783 | Highest tile: 384 | Moves: 117
[50]#41 | Score: 3369 | Highest tile: 192 | Moves: 103
[50]#42 | Score: 2652 | Highest tile: 192 | Moves: 74
